Sample,Similarity1_Score,Similarity2_Score,Similarity_Score
104,0.55676385,0.967143395,0.761953622
105,0.484948379,0.748017187,0.616482783
106,0.554819827,0.652706911,0.603763369
107,0.489304654,0.869480858,0.679392756
108,0.409929579,0.794798207,0.602363893
109,0.659862126,0.591805105,0.625833616
110,0.329722855,0.812895621,0.571309238
111,0.348107753,0.614369066,0.48123841
112,0.132695748,0.791099922,0.461897835
113,0.704780366,0.648556585,0.676668476
114,0.493355644,0.618671642,0.556013643
115,0.391523362,0.684884346,0.538203854
116,0.481829759,0.599377728,0.540603743
117,0.869142073,0.771885853,0.820513963
118,0.683070386,0.787346182,0.735208284
119,0.339603198,0.828462129,0.584032663
120,0.426847313,0.680386516,0.553616915
121,0.088734696,0.82303473,0.455884713
122,0.547680482,0.829444443,0.688562463
123,0.362313306,0.82883441,0.595573858
124,0.630141995,0.809277873,0.719709934
125,0.60795652,0.812680192,0.710318356
126,0.625342357,0.780067324,0.702704841
127,0.684343458,0.794993077,0.739668268
128,0.357199306,0.552563982,0.454881644
129,0.598628862,0.320038097,0.459333479
130,0.451509198,0.700431149,0.575970174
131,0.385916925,0.757889934,0.57190343
132,0.515696564,0.433265805,0.474481185
133,0.326374654,0.877137618,0.601756136
134,0.432208711,0.663138217,0.547673464
135,0.626576109,0.622091455,0.624333782
136,0.570741226,0.909231332,0.739986279
137,0.501072932,0.804764564,0.652918748
138,0.626230575,0.750959928,0.688595252
139,0.515808037,0.738488031,0.627148034
140,0.243325144,0.531894566,0.387609855
141,0.35919332,0.832294022,0.595743671
142,0.237966183,0.657276598,0.447621391
143,0.391277659,0.907600672,0.649439165
144,0.39307332,0.842124991,0.617599156
145,0.564562724,0.809148055,0.68685539
146,0.282499562,0.534451788,0.408475675
147,0.445178307,0.844985972,0.645082139
148,0.435483249,0.778794969,0.607139109
149,0.799684235,0.811738903,0.805711569
150,0.512251164,0.605004494,0.558627829
151,0.50682137,0.744584504,0.625702937
152,0.366880618,0.599356644,0.483118631
153,0.306279361,0.955230825,0.630755093
154,0.499482397,0.724583605,0.612033001
155,0.577244569,0.729813094,0.653528832
156,0.596353925,0.603998344,0.600176134
157,0.582842894,0.427857414,0.505350154
158,0.281369255,0.835953551,0.558661403
159,0.698259568,0.582722957,0.640491262
160,0.157248588,0.606107093,0.38167784
161,0.63887944,0.698830852,0.668855146
162,1,0.647766537,0.823883269
163,0.420839472,0.566063512,0.493451492
164,0.438711976,0.927916349,0.683314163
165,0.546136409,0.806092591,0.6761145
166,0.3968423,0.842430866,0.619636583
167,0.658896459,0.90150264,0.780199549
168,0.297453391,0.659985892,0.478719642
169,0.432989934,0.634986485,0.53398821
170,0.508424713,0.567251124,0.537837919
171,0.549232274,0.566782872,0.558007573
172,0.597980766,0.845088415,0.72153459
173,0.547439761,0.72904585,0.638242806
174,0.180011953,0.785063071,0.482537512
175,0.352336986,0.749049674,0.55069333
176,0.264441849,0.814791363,0.539616606
177,0.658436983,0.531169864,0.594803423
178,0.611987942,0.847245249,0.729616595
179,0.606404062,0.560629869,0.583516966
180,0.387651753,0.91824779,0.652949771
181,0.325337362,0.848488849,0.586913106
182,0.41472451,0.642211223,0.528467866
183,0.437522494,0.781149029,0.609335762
184,0.332384215,0.839917468,0.586150842
185,0.748713752,0.71156477,0.730139261
186,0.573460942,0.660907858,0.6171844
187,0.402337307,0.509464858,0.455901082
188,0.332650733,0.734211025,0.533430879
189,0.464979609,0.881151688,0.673065648
190,0.488360842,0.742720492,0.615540667
191,0.272493153,0.806121257,0.539307205
192,0.246524961,0.738882337,0.492703649
193,0.493586991,0.57733707,0.53546203
194,0.539396638,0.799627785,0.669512211
195,0.706336309,0.720865501,0.713600905
196,0.28632148,0.496043619,0.391182549
197,0.552395686,0.781478808,0.666937247
198,0.229636482,0.674949702,0.452293092
199,0.563699072,0.626976161,0.595337616
200,0.645668145,0.695520515,0.67059433
201,0.455299247,0.741200826,0.598250037
202,0.185701764,0.856696645,0.521199204
203,0.547593271,0.773712539,0.660652905
204,0.507184533,0.893196865,0.700190699
205,0.372396982,0.221638516,0.297017749
206,0.544465864,0.765890525,0.655178194
207,0.361736087,0.710474148,0.536105117
208,0.692710784,0.784826734,0.738768759
209,0.401001419,0.730907025,0.565954222
210,0.496143299,0.84921975,0.672681524
211,0.471258447,0.606019908,0.538639178
212,0.410925673,0.778499143,0.594712408
213,0.581634187,0.883044122,0.732339154
214,0.570233807,0.899774375,0.735004091
215,0.391715049,0.80543472,0.598574884
216,0.410791334,0.575274439,0.493032886
217,0.174358372,0.701566202,0.437962287
218,0.272929567,0.770629081,0.521779324
219,0.534134551,0.71677412,0.625454336
220,0.595805092,0.821160039,0.708482566
221,0.332831951,0.751749492,0.542290721
222,0.37296818,0.767243355,0.570105767
223,0.512622873,0.679253782,0.595938328
224,0.508265005,0.725758566,0.617011786
225,0.475688076,0.915630934,0.695659505
226,0.737136667,0.468549186,0.602842927
227,0.840794815,0.707819339,0.774307077
228,0.46784465,0.793789367,0.630817008
229,0.420667961,0.596639513,0.508653737
230,0.577609896,0.796221404,0.68691565
231,0.629611821,0.847215018,0.73841342
232,0.60196888,0.296330756,0.449149818
233,0.264291071,0.85500963,0.559650351
234,0.765722533,0.742376505,0.754049519
235,0.363752341,0.740810364,0.552281353
236,0.247594143,0.708855059,0.478224601
237,0.423589622,0.759464094,0.591526858
238,0.177261342,0.692712558,0.43498695
239,0.33738975,0.795209721,0.566299735
240,0.731027747,0.399517385,0.565272566
241,0.421697932,0.678330358,0.550014145
242,0.401747186,0.918006224,0.659876705
243,0.397643968,0.720449598,0.559046783
244,0.532446811,0.719885645,0.626166228
245,0.540642998,0.911319298,0.725981148
246,0.375022394,0.739375217,0.557198805
247,0.534229033,0.82333074,0.678779886
248,0.457254302,0.796940301,0.627097302
249,0.338621664,0.791148294,0.564884979
250,0.352973371,0.661775181,0.507374276
251,0.351976463,0.684329207,0.518152835
252,0.43142453,0.955930601,0.693677565
253,0.260824227,0.637951684,0.449387955
254,0.297716666,0.813508555,0.555612611
255,0.333393182,0.759146856,0.546270019
256,0.5983969,0.693749397,0.646073148
257,0.321520796,0.608480558,0.465000677
258,0.273655101,0.620974737,0.447314919
259,0.466358487,0.691912553,0.57913552
260,0.521247178,0.846270572,0.683758875
261,0.593010228,0.857395073,0.725202651
262,0.437124071,0.852954309,0.64503919
263,0.613502755,0.781732692,0.697617724
264,0.325803721,0.854533316,0.590168518
265,0.301998199,0.70787233,0.504935264
266,0.416415845,0.561086666,0.488751256
267,0.36564372,0.392588511,0.379116116
268,0.541139266,0.805601694,0.67337048
269,0.535972334,0.579597696,0.557785015
270,0.598809722,0.79038372,0.694596721
271,0.475071515,0.871202625,0.67313707
272,0.436410497,0.869939392,0.653174944
273,0.508944539,0.73102514,0.61998484
274,0.586899734,0.730212906,0.65855632
275,0.496269745,0.621624588,0.558947166
276,0.362897191,0.708186521,0.535541856
277,0.608730453,0.84210271,0.725416582
278,0.385065563,0.812196628,0.598631096
279,0.344519053,0.84467936,0.594599206
280,0.404557953,0.818781439,0.611669696
281,0.570498554,0.670955836,0.620727195
282,0.442240811,0.796539803,0.619390307
283,0.401963101,0.740067239,0.57101517
284,0.628710635,0.704678974,0.666694805
285,0.435412583,0.88380334,0.659607962
286,0.357441481,0.918393889,0.637917685
287,0.401725685,0.81944523,0.610585457
288,0.477634499,0.524342325,0.500988412
289,0.310767221,0.438583846,0.374675533
290,0.540480502,0.823845334,0.682162918
291,0.471291227,0.83548107,0.653386148
292,0.439202767,0.697550182,0.568376474
293,0.405384924,0.685969869,0.545677397
294,0.724616152,0.834006193,0.779311173
295,0.337684832,0.552606647,0.44514574
296,0.335434428,0.805674276,0.570554352
297,0.416412335,0.579489089,0.497950712
298,0.670484488,0.691541996,0.681013242
299,0.393917174,0.895690467,0.64480382
300,0.26911428,0.672347566,0.470730923
301,0.592332085,0.797221075,0.69477658
302,0.596012115,0.61171705,0.603864582
303,0.36528563,0.815375041,0.590330335
304,0.292049877,0.682645003,0.48734744
305,0.42557007,0.719596063,0.572583066
306,0.501006093,0.825085601,0.663045847
307,0.518828033,0.786898703,0.652863368
308,0.324678624,0.787238691,0.555958658
309,0.319598657,0.51966259,0.419630623
310,0.736698235,0.793030251,0.764864243
311,0.664542132,0.795323277,0.729932704
312,0.590541977,0.84312654,0.716834258
313,0.540473904,0.940811761,0.740642832
314,0.468246441,0.900932276,0.684589358
315,0.558916568,0.803282698,0.681099633
316,0.47512463,0.72075717,0.5979409
317,0.412744238,0.735626121,0.574185179
318,0.571273409,0.720179351,0.64572638
319,0.500670199,0.809555452,0.655112826
320,0.569947669,0.744318993,0.657133331
321,0.507570438,0.849397968,0.678484203
322,0.492118641,0.752242864,0.622180752
323,0.405953975,0.616982279,0.511468127
324,0.311594133,0.909690166,0.61064215
325,0.625930186,0.775088256,0.700509221
326,0.308831192,0.754678191,0.531754691
327,0.279418574,0.879749717,0.579584145
328,0.311614126,0.791554071,0.551584098
329,0.738064557,0.631049529,0.684557043
330,0.599633733,0.885316071,0.742474902
331,0.782370216,0.756832657,0.769601436
332,0.511784256,0.696016934,0.603900595
333,0.221511213,0.684791235,0.453151224
334,0.219763364,0.735552578,0.477657971
335,0.424257582,0.723346407,0.573801994
336,0.389665219,0.583391426,0.486528322
337,0.72672527,0.551806666,0.639265968
338,0.341791819,0.855833832,0.598812825
339,0.461869159,0.379517664,0.420693411
340,0.3059374,0.745886921,0.52591216
341,0.735645667,0.72579093,0.730718299
342,0.41378211,0.677682577,0.545732344
343,0.558792755,0.820123075,0.689457915
344,0.597166557,0.766474099,0.681820328
345,0.592409341,0.885329611,0.738869476
346,0.595755091,0.877711908,0.736733499
347,0.469184016,0.878523603,0.67385381
348,0.466143126,0.862793369,0.664468247
349,0.415516577,0.789807147,0.602661862
350,0.523076114,0.737889654,0.630482884
351,0.475935743,0.835501491,0.655718617
352,0.723055222,0.865845263,0.794450243
353,0.230739338,0.662662577,0.446700958
354,0.544306616,0.823969642,0.684138129
355,0.299858691,0.579535137,0.439696914
356,0.734941899,0.884300194,0.809621047
357,0.539415196,0.860957751,0.700186473
358,0.387484548,0.796833953,0.592159251
359,0.757389463,0.866174507,0.811781985
360,0.277549589,0.813402681,0.545476135
361,0.521027406,0.610708669,0.565868038
362,0.47066401,0.794035197,0.632349604
363,0.38619487,0.816546188,0.601370529
364,0.500947445,0.853482096,0.677214771
365,0.306539993,0.776720072,0.541630032
366,0.500393797,0.480468733,0.490431265
367,0.184060503,0.757730007,0.470895255
368,0.422972243,0.796514628,0.609743436
369,0.638654995,0.53937778,0.589016387
370,0.507634299,0.834053797,0.670844048
371,0.6960472,0.638428756,0.667237978
372,0.337369709,0.799724677,0.568547193
373,0.332556204,0.789446839,0.561001522
374,0.737940729,0.782036031,0.75998838
375,0.418868593,0.876358927,0.64761376
376,0.533416895,0.547355395,0.540386145
377,0.642635374,0.798731852,0.720683613
378,0.386711232,0.677600457,0.532155844
379,0.35110205,0.712574841,0.531838445
380,0.376651028,0.76584981,0.571250419
381,0.778584362,0.818344471,0.798464416
382,0.217518785,0.655051677,0.436285231
383,0.6612029,0.918656907,0.789929903
384,0.381120428,0.811517847,0.596319137
385,0.373703437,0.597586438,0.485644937
386,0.430693487,0.868120725,0.649407106
387,0.284260159,0.704724975,0.494492567
388,0.438551213,0.892229638,0.665390426
389,0.455854032,0.893964137,0.674909085
390,0.522341833,0.747395883,0.634868858
391,0.548392629,0.74977957,0.649086099
392,0.227766957,0.790213772,0.508990365
393,0.639889833,0.717560121,0.678724977
394,0.343773392,0.695688586,0.519730989
395,0.402194401,0.792659332,0.597426866
396,0.234368742,0.698095226,0.466231984
397,0.197396895,0.789933627,0.493665261
398,0.502632976,0.757901304,0.63026714
399,0.442558788,0.828031506,0.635295147
400,0.734384446,0.595699006,0.665041726
401,0.431002319,0.806776478,0.618889399
402,0.673565559,0.848469376,0.761017468
403,0.605383925,0.941489034,0.77343648
404,0.442635099,0.699091371,0.570863235
405,0.3152703,0.853115678,0.584192989
406,0.375169231,0.813163973,0.594166602
407,0.410994767,0.566904281,0.488949524
408,0.384403983,0.638202179,0.511303081
409,0.324350543,0.569445549,0.446898046
410,0.407737618,0.765883467,0.586810543
411,0.477029377,0.505375265,0.491202321
412,0.125409592,0.673565798,0.399487695
413,0.702230519,0.520821813,0.611526166
414,0.160594832,0.494365399,0.327480116
415,0.500087189,0.757016952,0.62855207
416,0.651908747,0.799703719,0.725806233
417,0.70077121,0.678990611,0.689880911
418,0.18684356,0.878064374,0.532453967
419,0.521183586,0.927303334,0.72424346
420,0.261319182,0.819701344,0.540510263
421,0.319435458,0.766234807,0.542835133
422,0.237047133,0.534123375,0.385585254
423,0.390761211,0.830138965,0.610450088
424,0.57131724,0.717122851,0.644220046
425,0.606480143,0.871801365,0.739140754
426,0.731921923,0.710541819,0.721231871
427,0.43728122,0.7409518,0.58911651
428,0.533564349,0.678013011,0.60578868
429,0.190597928,0.799792656,0.495195292
430,0.507202294,0.6859778,0.596590047
431,0.436203553,0.770843517,0.603523535
432,0.439312684,0.883876491,0.661594588
433,0.429655817,0.843744799,0.636700308
434,0.288917902,0.709062049,0.498989976
435,0.370767112,0.858168635,0.614467874
436,0.358966033,0.787099077,0.573032555
437,0.484469509,0.777411737,0.630940623
438,0.67843627,0.567211423,0.622823847
439,0.761236407,0.990710448,0.875973428
440,0.602012497,0.61704394,0.609528219
441,0.622646366,0.76556645,0.694106408
442,0.559621205,0.937035186,0.748328196
443,0.590024332,0.688897742,0.639461037
444,0.478567356,0.606416339,0.542491847
445,0.49145946,0.987779724,0.739619592
446,0.350232159,0.51952159,0.434876875
447,0.375085167,0.663524669,0.519304918
448,0.636039302,0.917431626,0.776735464
449,0.37137168,0.767373559,0.56937262
450,0.455404837,0.848744355,0.652074596
451,0.288301798,0.470070057,0.379185928
452,0.343501066,0.897660715,0.620580891
453,0.53047271,0.654980231,0.592726471
454,0.416141004,0.567931166,0.492036085
455,0.252732308,0.844285791,0.548509049
456,0.550290523,0.855326155,0.702808339
457,0.256111912,0.610732978,0.433422445
458,0.412644351,0.723564637,0.568104494
459,0.195859892,0.734667301,0.465263596
460,0.448877261,0.771228233,0.610052747
461,0.507016867,0.780398168,0.643707517
462,0.50306469,0.803797525,0.653431107
463,0.217056316,0.843396412,0.530226364
464,0.553995198,0.863293339,0.708644268
465,0.525560269,0.800130654,0.662845462
466,0.384133997,0.9009203,0.642527148
467,0.255963743,0.760648496,0.508306119
468,0.595580257,0.410585771,0.503083014
469,0.557862047,0.817187134,0.687524591
470,0.554243705,0.876067186,0.715155446
471,0.727839201,0.661925568,0.694882384
472,0.176995733,0.660904599,0.418950166
473,0.233803648,0.703738,0.468770824
474,0.7041573,0.76089064,0.73252397
475,0.564753048,0.847151023,0.705952035
476,0.7101023,0.830346393,0.770224346
477,0.238796462,0.885654681,0.562225571
478,0.231002896,0.85811914,0.544561018
479,0.452907272,0.74517107,0.599039171
480,0.618119027,0.620900316,0.619509672
481,0.392132465,0.792876998,0.592504731
482,0.446795691,0.7879996,0.617397646
483,0.336334458,0.703356128,0.519845293
484,0.46384058,0.837356104,0.650598342
485,0.463506279,0.631468696,0.547487487
486,0.314884875,0.730662814,0.522773844
487,0.398942232,0.7891056,0.594023916
488,0.576983217,0.776461599,0.676722408
489,0.230519675,0.799582472,0.515051073
490,0.490396172,0.894727989,0.69256208
491,0.60392105,0.754897499,0.679409274
492,0.253023569,0.727788983,0.490406276
493,0.823748054,0.726778445,0.77526325
494,0.489939204,0.785953621,0.637946413
495,0.832366509,0.901269381,0.866817945
496,0.54553189,0.805989958,0.675760924
497,0.307021668,0.608209341,0.457615504
498,0.42627939,0.707174962,0.566727176
499,0.509500417,0.780830514,0.645165465
500,0.326612169,0.728547725,0.527579947
501,0.402536135,0.515534896,0.459035516
502,0.525064454,0.926013892,0.725539173
503,0.556161357,0.622149428,0.589155392
504,0.415708558,0.656579693,0.536144125
505,0.266752216,0.884120474,0.575436345
506,0.609932691,0.673249655,0.641591173
507,0.509007274,0.834474858,0.671741066
508,0.304222996,0.766544138,0.535383567
509,0.318320943,0.775615012,0.546967978
510,0.559850677,0.774997503,0.66742409
511,0.286400844,0.805099903,0.545750373
512,0.37634536,0.858849299,0.61759733
513,0.381068834,0.716260401,0.548664617
514,0.5066767,0.751452119,0.62906441
515,0.556000581,0.728820611,0.642410596
516,0.542666844,0.893989529,0.718328187
517,0.485240432,0.779831053,0.632535743
518,0.762341741,0.741072285,0.751707013
519,0.611972786,0.844790764,0.728381775
520,0.577991401,0.72641845,0.652204926
521,0.667052881,0.64593607,0.656494476
522,0.42289742,0.876970644,0.649934032
523,0.446729301,0.837540098,0.642134699
524,0.515785472,0.722453587,0.619119529
525,0.653711709,0.879512598,0.766612154
526,0.342101495,0.801966489,0.572033992
527,0.47621948,0.846647054,0.661433267
528,0.692318443,0.705006295,0.698662369
529,0.455533145,0.895158583,0.675345864
530,0.614750341,0.723667251,0.669208796
531,0.256727145,0.598563137,0.427645141
532,0.537486099,0.904613153,0.721049626
533,0.517951173,0.628031481,0.572991327
534,0.311681392,0.416358802,0.364020097
535,0.498690102,0.782786905,0.640738504
536,0.525474749,0.715369617,0.620422183
537,0.263206148,0.631069461,0.447137804
538,0.582307136,0.734829737,0.658568437
539,0.721424789,0.711672743,0.716548766
540,0.240117773,0.627979412,0.434048593
541,0.46714733,0.709549955,0.588348642
542,0.275849152,0.895178454,0.585513803
543,0.372997171,0.521696853,0.447347012
544,0.722503329,0.730276434,0.726389881
545,0.283359034,0.80042117,0.541890102
546,0.519101326,0.685157619,0.602129472
547,0.57808534,0.703067441,0.64057639
548,0.314510222,0.801008579,0.5577594
549,0.497626283,0.727717859,0.612672071
550,0.34475589,0.877001122,0.610878506
551,0.501152356,0.770413791,0.635783073
552,0.333419329,0.873393674,0.603406502
553,0.192258072,0.72035887,0.456308471
554,0.375541341,0.790178003,0.582859672
555,0.358556542,0.805441892,0.581999217
556,0.263101325,0.784814151,0.523957738
557,0.462906116,0.744227492,0.603566804
558,0.143624546,0.651042421,0.397333484
559,0.140099382,0.749029634,0.444564508
560,0.530809007,0.732589492,0.63169925
561,0.24441427,0.773490334,0.508952302
562,0.515783452,0.647610437,0.581696944
563,0.419279904,0.816520065,0.617899985
564,0.736426496,0.948060865,0.842243681
565,0.612970652,0.694702511,0.653836581
566,0.574618836,0.814810458,0.694714647
567,0.695214778,0.729895079,0.712554928
568,0.267991647,0.610020876,0.439006261
569,0.448917291,0.867813343,0.658365317
570,0.323304918,0.667429706,0.495367312
571,0.365552752,0.815168311,0.590360532
572,0.677305012,0.740538964,0.708921988
573,0.361352851,0.870243543,0.615798197
574,0.586974001,0.759926336,0.673450169
575,0.048711149,0.750593652,0.3996524
576,0.659158323,0.835842822,0.747500573
577,0.726512867,0.587116287,0.656814577
578,0.680865929,0.729771001,0.705318465
579,0.126910397,0.74484102,0.435875708
580,0.476314425,0.864926806,0.670620615
581,0.479157995,0.623398875,0.551278435
582,0.57224902,0.795415441,0.683832231
583,0.666093856,0.823525228,0.744809542
584,0.554953183,0.774181837,0.66456751
585,0.689981753,0.769400297,0.729691025
586,0.555575269,0.772574392,0.664074831
587,0.543617223,0.90087847,0.722247847
588,0.543626047,0.766812697,0.655219372
589,0.325261162,0.788785349,0.557023255
590,0.465040958,0.791070149,0.628055553
591,0.523148918,0.693286597,0.608217758
592,0.573149827,0.792559731,0.682854779
593,0.618340681,0.803985249,0.711162965
594,0.472961986,0.845661129,0.659311558
595,0.630473844,0.771814384,0.701144114
596,0.252587311,0.87383269,0.563210001
597,0.560381913,0.680715635,0.620548774
598,0.507649489,0.764269635,0.635959562
599,0.336602375,0.733896089,0.535249232
600,0.380755069,0.7043253,0.542540185
601,0.268595797,0.769152419,0.518874108
602,0.436618,0.779705,0.6081615
603,0.508369537,0.846339418,0.677354477
604,0.303415377,0.766633743,0.53502456
605,0.476939512,0.743112322,0.610025917
606,0.476818225,0.78326399,0.630041107
607,0.322617866,0.50454391,0.413580888
608,0.390710488,0.871541449,0.631125968
609,0.538807911,0.696670922,0.617739417
610,0.340508096,0.579086431,0.459797263
611,0.281510472,0.815059082,0.548284777
612,0.537018428,0.719845594,0.628432011
613,0.356675369,0.642992776,0.499834073
614,0.286990999,0.637197609,0.462094304
615,0.275434026,0.715246313,0.49534017
616,0.584888857,0.785707724,0.68529829
617,0.554025505,0.744233758,0.649129631
618,0.548835326,0.79072247,0.669778898
619,0.410569971,0.850513238,0.630541605
620,0.575774388,0.900283199,0.738028793
621,0.400115724,0.760644099,0.580379911
622,0.64409514,0.866368443,0.755231791
623,0.250932816,0.84693955,0.548936183
624,0.46924728,0.738622926,0.603935103
625,0.439802507,0.489980814,0.464891661
626,0.497502021,0.737720202,0.617611111
627,0.57778311,0.803980285,0.690881697
628,0.223234007,0.942533615,0.582883811
629,0.531081057,0.644728374,0.587904715
630,0.65439685,0.763738153,0.709067501
631,0.136230728,0.860594483,0.498412606
632,0.343565329,0.757644513,0.550604921
633,0.625832699,0.753138699,0.689485699
634,0.615226261,0.814659971,0.714943116
635,0.499345679,0.869716618,0.684531149
636,0.223061139,0.53689915,0.379980145
637,0.339914499,0.680757961,0.51033623
638,0.545495181,0.684838007,0.615166594
639,0.327953166,0.881227606,0.604590386
640,0.313988538,0.816160262,0.5650744
641,0.33900369,0.888117158,0.613560424
642,0.345485708,0.557805097,0.451645403
643,0.571475129,0.721548543,0.646511836
644,0.319135752,0.794284272,0.556710012
645,0.574380974,0.655679872,0.615030423
646,0.552965535,0.706150656,0.629558096
647,0.27250672,0.676299853,0.474403287
648,0.542501607,0.827820072,0.685160839
649,0.369333913,0.628936224,0.499135069
650,0.781005453,0.842426541,0.811715997
651,0.362819541,0.711078141,0.536948841
652,0.383452793,0.840137878,0.611795336
653,0.568016221,0.666270023,0.617143122
654,0.586797371,0.674728581,0.630762976
655,0.456738399,0.903598321,0.68016836
656,0.401994259,0.723526985,0.562760622
657,0.438684663,0.559573852,0.499129257
658,0.554033561,0.721532229,0.637782895
659,0.602995175,0.823497409,0.713246292
660,0.568991424,0.906189798,0.737590611
661,0.37214681,0.876488655,0.624317733
662,0.693752339,0.768048789,0.730900564
663,0.230722568,0.816566224,0.523644396
664,0.479084422,0.935834676,0.707459549
665,0.497720186,0.775603519,0.636661852
666,0.494909293,0.849194054,0.672051674
667,0.598731617,0.668695316,0.633713466
668,0.547826399,0.533007027,0.540416713
669,0.52467707,0.799097695,0.661887383
670,0.770104397,0.518839034,0.644471716
671,0.238925311,0.88535994,0.562142626
672,0.376098349,0.654638056,0.515368203
673,0.519881513,0.683868778,0.601875146
674,0.48718705,0.671556118,0.579371584
675,0.33422355,0.886770134,0.610496842
676,0.59607494,0.685931933,0.641003437
677,0.305745138,0.819173915,0.562459526
678,0.584396446,0.64681098,0.615603713
679,0.355588099,0.792347536,0.573967817
680,0.599444868,0.685608492,0.64252668
681,0.547965657,0.778660843,0.66331325
682,0.408237357,0.764219745,0.586228551
683,0.411467557,0.883266425,0.647366991
684,0.662256074,0.783364693,0.722810383
685,0.617195897,0.916409466,0.766802682
686,0.500514606,0.758195167,0.629354886
687,0.512466635,0.81088713,0.661676882
688,0.573126235,0.90735109,0.740238662
689,0.64014683,0.852577599,0.746362215
690,0.336211111,0.770319186,0.553265148
691,0.11152445,0.819407304,0.465465877
692,0.715487597,0.767529697,0.741508647
693,0.409162789,0.526408676,0.467785732
694,0.320839771,0.78170837,0.551274071
695,0.291604046,0.843235185,0.567419616
696,0.214268018,0.60273844,0.408503229
697,0.505891287,0.776610566,0.641250926
